date,day,evening
2022-01-01,Saturday,="2899"
2022-01-02,Sunday,="9784"
2022-01-03,Monday,="4586"
2022-01-04,Tuesday,="0644"
2022-01-05,Wednesday,="2334"
2022-01-06,Thursday,="9974"
2022-01-07,Friday,="8808"
2022-01-08,Saturday,="8014"
2022-01-09,Sunday,="3351"
2022-01-10,Monday,="6030"
2022-01-11,Tuesday,="6707"
2022-01-12,Wednesday,="9411"
2022-01-13,Thursday,="4395"
2022-01-14,Friday,="9563"
2022-01-15,Saturday,="8009"
2022-01-16,Sunday,="4695"
2022-01-17,Monday,="9918"
2022-01-18,Tuesday,="7592"
2022-01-19,Wednesday,="2610"
2022-01-20,Thursday,="3074"
2022-01-21,Friday,="7325"
2022-01-22,Saturday,="3361"
2022-01-23,Sunday,="0532"
2022-01-24,Monday,="1122"
2022-01-25,Tuesday,="2238"
2022-01-26,Wednesday,="5954"
2022-01-27,Thursday,="3942"
2022-01-28,Friday,="6591"
2022-01-29,Saturday,="1710"
2022-01-30,Sunday,="1995"
2022-01-31,Monday,="8322"
2022-02-01,Tuesday,="2334"
2022-02-02,Wednesday,="0658"
2022-02-03,Thursday,="7733"
2022-02-04,Friday,="2872"
2022-02-05,Saturday,="0439"
2022-02-06,Sunday,="8270"
2022-02-07,Monday,="3703"
2022-02-08,Tuesday,="6245"
2022-02-09,Wednesday,="3423"
2022-02-10,Thursday,="0164"
2022-02-11,Friday,="5754"
2022-02-12,Saturday,="2509"
2022-02-13,Sunday,="2196"
2022-02-14,Monday,="4689"
2022-02-15,Tuesday,="2456"
2022-02-16,Wednesday,="4397"
2022-02-17,Thursday,="2002"
2022-02-18,Friday,="6817"
2022-02-19,Saturday,="2108"
2022-02-20,Sunday,="8817"
2022-02-21,Monday,="2125"
2022-02-22,Tuesday,="1324"
2022-02-23,Wednesday,="3356"
2022-02-24,Thursday,="1483"
2022-02-25,Friday,="7468"
2022-02-26,Saturday,="3516"
2022-02-27,Sunday,="6837"
2022-02-28,Monday,="5705"
2022-03-01,Tuesday,="9450"
2022-03-02,Wednesday,="2576"
2022-03-03,Thursday,="5166"
2022-03-04,Friday,="3381"
2022-03-05,Saturday,="4436"
2022-03-06,Sunday,="3633"
2022-03-07,Monday,="3016"
2022-03-08,Tuesday,="8497"
2022-03-09,Wednesday,="5523"
2022-03-10,Thursday,="5399"
2022-03-11,Friday,="8612"
2022-03-12,Saturday,="9175"
2022-03-13,Sunday,="2842"
2022-03-14,Monday,="1344"
2022-03-15,Tuesday,="1504"
2022-03-16,Wednesday,="2274"
2022-03-17,Thursday,="7754"
2022-03-18,Friday,="5072"
2022-03-19,Saturday,="6235"
2022-03-20,Sunday,="1495"
2022-03-21,Monday,="9962"
2022-03-22,Tuesday,="0035"
2022-03-23,Wednesday,="3700"
2022-03-24,Thursday,="8479"
2022-03-25,Friday,="8292"
2022-03-26,Saturday,="5782"
2022-03-27,Sunday,="3457"
2022-03-28,Monday,="6757"
2022-03-29,Tuesday,="9088"
2022-03-30,Wednesday,="5825"
2022-03-31,Thursday,="3068"
2022-04-01,Friday,="2523"
2022-04-02,Saturday,="1385"
2022-04-03,Sunday,="0538"
2022-04-04,Monday,="9424"
2022-04-05,Tuesday,="5560"
2022-04-06,Wednesday,="7913"
2022-04-07,Thursday,="2085"
2022-04-08,Friday,="6030"
2022-04-09,Saturday,="3662"
2022-04-10,Sunday,="4614"
2022-04-11,Monday,="2867"
2022-04-12,Tuesday,="7790"
2022-04-13,Wednesday,="4429"
2022-04-14,Thursday,="7356"
2022-04-15,Friday,="5831"
2022-04-16,Saturday,="4107"
2022-04-17,Sunday,="7068"
2022-04-18,Monday,="0472"
2022-04-19,Tuesday,="5888"
2022-04-20,Wednesday,="0286"
2022-04-21,Thursday,="1501"
2022-04-22,Friday,="7670"
2022-04-23,Saturday,="1809"
2022-04-24,Sunday,="9564"
2022-04-25,Monday,="1045"
2022-04-26,Tuesday,="6662"
2022-04-27,Wednesday,="0698"
2022-04-28,Thursday,="0197"
2022-04-29,Friday,="7869"
2022-04-30,Saturday,="4909"
2022-05-01,Sunday,="1550"
2022-05-02,Monday,="4395"
2022-05-03,Tuesday,="7910"
2022-05-04,Wednesday,="2717"
2022-05-05,Thursday,="5038"
2022-05-06,Friday,="7834"
2022-05-07,Saturday,="5274"
2022-05-08,Sunday,="5138"
2022-05-09,Monday,="0731"
2022-05-10,Tuesday,="4475"
2022-05-11,Wednesday,="6354"
2022-05-12,Thursday,="6812"
2022-05-13,Friday,="0992"
2022-05-14,Saturday,="2001"
2022-05-15,Sunday,="3310"
2022-05-16,Monday,="3131"
2022-05-17,Tuesday,="5752"
2022-05-18,Wednesday,="9801"
2022-05-19,Thursday,="0838"
2022-05-20,Friday,="4277"
2022-05-21,Saturday,="7908"
2022-05-22,Sunday,="4313"
2022-05-23,Monday,="5830"
2022-05-24,Tuesday,="9162"
2022-05-25,Wednesday,="2738"
2022-05-26,Thursday,="0874"
2022-05-27,Friday,="3337"
2022-05-28,Saturday,="3205"
2022-05-29,Sunday,="0468"
2022-05-30,Monday,="2501"
2022-05-31,Tuesday,="5730"
2022-06-01,Wednesday,="2622"
2022-06-02,Thursday,="6828"
2022-06-03,Friday,="0321"
2022-06-04,Saturday,="3266"
2022-06-05,Sunday,="8236"
2022-06-06,Monday,="1110"
2022-06-07,Tuesday,="8140"
2022-06-08,Wednesday,="2915"
2022-06-09,Thursday,="5778"
2022-06-10,Friday,="6554"
2022-06-11,Saturday,="7509"
2022-06-12,Sunday,="4404"
2022-06-13,Monday,="8104"
2022-06-14,Tuesday,="8919"
2022-06-15,Wednesday,="0164"
2022-06-16,Thursday,="2447"
2022-06-17,Friday,="1496"
2022-06-18,Saturday,="3432"
2022-06-19,Sunday,="6694"
2022-06-20,Monday,="1877"
2022-06-21,Tuesday,="2309"
2022-06-22,Wednesday,="7118"
2022-06-23,Thursday,="3226"
2022-06-24,Friday,="5758"
2022-06-25,Saturday,="1087"
2022-06-26,Sunday,="6382"
2022-06-27,Monday,="3780"
2022-06-28,Tuesday,="0915"
2022-06-29,Wednesday,="7776"
2022-06-30,Thursday,="3193"
2022-07-01,Friday,="6587"
2022-07-02,Saturday,="0662"
2022-07-03,Sunday,="3771"
2022-07-04,Monday,="5404"
2022-07-05,Tuesday,="2224"
2022-07-06,Wednesday,="1346"
2022-07-07,Thursday,="2068"
2022-07-08,Friday,="1154"
2022-07-09,Saturday,="9288"
2022-07-10,Sunday,="6756"
2022-07-11,Monday,="9531"
2022-07-12,Tuesday,="9266"
2022-07-13,Wednesday,="8009"
2022-07-14,Thursday,="4118"
2022-07-15,Friday,="3320"
2022-07-16,Saturday,="4245"
2022-07-17,Sunday,="3435"
2022-07-18,Monday,="0096"
2022-07-19,Tuesday,="0647"
2022-07-20,Wednesday,="1713"
2022-07-21,Thursday,="3244"
2022-07-22,Friday,="6351"
2022-07-23,Saturday,="2149"
2022-07-24,Sunday,="8356"
2022-07-25,Monday,="4136"
2022-07-26,Tuesday,="9098"
2022-07-27,Wednesday,="1450"
2022-07-28,Thursday,="7274"
2022-07-29,Friday,="5822"
2022-07-30,Saturday,="2970"
2022-07-31,Sunday,="9034"
2022-08-01,Monday,="1921"
2022-08-02,Tuesday,="2306"
2022-08-03,Wednesday,="0250"
2022-08-04,Thursday,="2621"
2022-08-05,Friday,="4366"
2022-08-06,Saturday,="4946"
