date,day,evening
2021-01-01,Friday,="4206"
2021-01-02,Saturday,="3380"
2021-01-03,Sunday,="9468"
2021-01-04,Monday,="3045"
2021-01-05,Tuesday,="4898"
2021-01-06,Wednesday,="1729"
2021-01-07,Thursday,="0421"
2021-01-08,Friday,="3364"
2021-01-09,Saturday,="3013"
2021-01-10,Sunday,="2896"
2021-01-11,Monday,="3413"
2021-01-12,Tuesday,="6716"
2021-01-13,Wednesday,="5043"
2021-01-14,Thursday,="6946"
2021-01-15,Friday,="4187"
2021-01-16,Saturday,="9053"
2021-01-17,Sunday,="1405"
2021-01-18,Monday,="4289"
2021-01-19,Tuesday,="5576"
2021-01-20,Wednesday,="8870"
2021-01-21,Thursday,="4109"
2021-01-22,Friday,="8861"
2021-01-23,Saturday,="5915"
2021-01-24,Sunday,="8014"
2021-01-25,Monday,="7943"
2021-01-26,Tuesday,="7612"
2021-01-27,Wednesday,="3468"
2021-01-28,Thursday,="4318"
2021-01-29,Friday,="5344"
2021-01-30,Saturday,="1185"
2021-01-31,Sunday,="1297"
2021-02-01,Monday,="7330"
2021-02-02,Tuesday,="6194"
2021-02-03,Wednesday,="1064"
2021-02-04,Thursday,="7318"
2021-02-05,Friday,="0284"
2021-02-06,Saturday,="7093"
2021-02-07,Sunday,="9119"
2021-02-08,Monday,="6403"
2021-02-09,Tuesday,="7422"
2021-02-10,Wednesday,="4761"
2021-02-11,Thursday,="8296"
2021-02-12,Friday,="6889"
2021-02-13,Saturday,="9011"
2021-02-14,Sunday,="8807"
2021-02-15,Monday,="6455"
2021-02-16,Tuesday,="6985"
2021-02-17,Wednesday,="5475"
2021-02-18,Thursday,="4719"
2021-02-19,Friday,="1570"
2021-02-20,Saturday,="3497"
2021-02-21,Sunday,="6771"
2021-02-22,Monday,="1659"
2021-02-23,Tuesday,="0251"
2021-02-24,Wednesday,="0791"
2021-02-25,Thursday,="4227"
2021-02-26,Friday,="9090"
2021-02-27,Saturday,="0703"
2021-02-28,Sunday,="8126"
2021-03-01,Monday,="3168"
2021-03-02,Tuesday,="9881"
2021-03-03,Wednesday,="9276"
2021-03-04,Thursday,="7885"
2021-03-05,Friday,="7510"
2021-03-06,Saturday,="6691"
2021-03-07,Sunday,="2328"
2021-03-08,Monday,="8439"
2021-03-09,Tuesday,="1063"
2021-03-10,Wednesday,="7602"
2021-03-11,Thursday,="0836"
2021-03-12,Friday,="8532"
2021-03-13,Saturday,="1523"
2021-03-14,Sunday,="1153"
2021-03-15,Monday,="4340"
2021-03-16,Tuesday,="2177"
2021-03-17,Wednesday,="9167"
2021-03-18,Thursday,="4085"
2021-03-19,Friday,="2744"
2021-03-20,Saturday,="2759"
2021-03-21,Sunday,="2917"
2021-03-22,Monday,="6356"
2021-03-23,Tuesday,="0429"
2021-03-24,Wednesday,="5453"
2021-03-25,Thursday,="3810"
2021-03-26,Friday,="9191"
2021-03-27,Saturday,="1047"
2021-03-28,Sunday,="1258"
2021-03-29,Monday,="1060"
2021-03-30,Tuesday,="3000"
2021-03-31,Wednesday,="8981"
2021-04-01,Thursday,="8787"
2021-04-02,Friday,="4081"
2021-04-03,Saturday,="1520"
2021-04-04,Sunday,="7165"
2021-04-05,Monday,="1696"
2021-04-06,Tuesday,="4268"
2021-04-07,Wednesday,="1555"
2021-04-08,Thursday,="9753"
2021-04-09,Friday,="8642"
2021-04-10,Saturday,="0086"
2021-04-11,Sunday,="0307"
2021-04-12,Monday,="1657"
2021-04-13,Tuesday,="6339"
2021-04-14,Wednesday,="7570"
2021-04-15,Thursday,="1047"
2021-04-16,Friday,="5181"
2021-04-17,Saturday,="6429"
2021-04-18,Sunday,="2850"
2021-04-19,Monday,="9187"
2021-04-20,Tuesday,="6528"
2021-04-21,Wednesday,="7251"
2021-04-22,Thursday,="6545"
2021-04-23,Friday,="7204"
2021-04-24,Saturday,="5235"
2021-04-25,Sunday,="9401"
