date,midday
2025-12-31,="2768"
2025-12-30,="5644"
2025-12-29,="0388"
2025-12-28,="8805"
2025-12-27,="1322"
2025-12-26,="6172"
2025-12-25,="2021"
2025-12-24,="5622"
2025-12-23,="7800"
2025-12-22,="5252"
2025-12-21,="9613"
2025-12-20,="6800"
2025-12-19,="7019"
2025-12-18,="8565"
2025-12-17,="4563"
2025-12-16,="8726"
2025-12-15,="2934"
2025-12-14,="7354"
2025-12-13,="1186"
2025-12-12,="7022"
2025-12-11,="3980"
2025-12-10,="7950"
2025-12-09,="3165"
2025-12-08,="1412"
2025-12-07,="5412"
2025-12-06,="6700"
2025-12-05,="0976"
2025-12-04,="7800"
2025-12-03,="6722"
2025-12-02,="4926"
2025-12-01,="4725"
2025-11-30,="5923"
2025-11-29,="3655"
2025-11-28,="9885"
2025-11-27,="3058"
2025-11-26,="6718"
2025-11-25,="3920"
2025-11-24,="3225"
2025-11-23,="6709"
2025-11-22,="4373"
2025-11-21,="5908"
2025-11-20,="3126"
2025-11-19,="2958"
2025-11-18,="5193"
2025-11-17,="3363"
2025-11-16,="5299"
2025-11-15,="1228"
2025-11-14,="8088"
2025-11-13,="5400"
2025-11-12,="5707"
2025-11-11,="4036"
2025-11-10,="8776"
2025-11-09,="9819"
2025-11-08,="6190"
2025-11-07,="1549"
2025-11-06,="4043"
2025-11-05,="2365"
2025-11-04,="1669"
2025-11-03,="4987"
2025-11-02,="1979"
2025-11-01,="8836"
2025-10-31,="2189"
2025-10-30,="3722"
2025-10-29,="2624"
2025-10-28,="8162"
2025-10-27,="3965"
2025-10-26,="1115"
2025-10-25,="8130"
2025-10-24,="0417"
2025-10-23,="2597"
2025-10-22,="2001"
2025-10-21,="7015"
2025-10-20,="8178"
2025-10-19,="0757"
2025-10-18,="1697"
2025-10-17,="0262"
2025-10-16,="7964"
2025-10-15,="5976"
2025-10-14,="6728"
2025-10-13,="5945"
2025-10-12,="5926"
2025-10-11,="1090"
2025-10-10,="4504"
2025-10-09,="8532"
2025-10-08,="3348"
2025-10-07,="0635"
2025-10-06,="4329"
2025-10-05,="1306"
2025-10-04,="6603"
2025-10-03,="9269"
2025-10-02,="0883"
2025-10-01,="7486"
2025-09-30,="6287"
2025-09-29,="1563"
2025-09-28,="0954"
2025-09-27,="0503"
2025-09-26,="1175"
2025-09-25,="8061"
2025-09-24,="9910"
2025-09-23,="8988"
2025-09-22,="7987"
2025-09-21,="5200"
2025-09-20,="0869"
2025-09-19,="7736"
2025-09-18,="1014"
2025-09-17,="0968"
2025-09-16,="9823"
2025-09-15,="8351"
2025-09-14,="9227"
2025-09-13,="5086"
2025-09-12,="3299"
2025-09-11,="5304"
2025-09-10,="7660"
2025-09-09,="8549"
2025-09-08,="6268"
2025-09-07,="1268"
2025-09-06,="2936"
2025-09-05,="3653"
2025-09-04,="7813"
2025-09-03,="3868"
2025-09-02,="3653"
2025-09-01,="2788"
2025-08-31,="4316"
2025-08-30,="1738"
2025-08-29,="8585"
2025-08-28,="5690"
2025-08-27,="4930"
2025-08-26,="2638"
2025-08-25,="3080"
2025-08-24,="6824"
2025-08-23,="7736"
2025-08-22,="4182"
2025-08-21,="5349"
2025-08-20,="1190"
2025-08-19,="7234"
2025-08-18,="0827"
2025-08-17,="7048"
2025-08-16,="8879"
2025-08-15,="6089"
2025-08-14,="6465"
2025-08-13,="0435"
2025-08-12,="7487"
2025-08-11,="6419"
2025-08-10,="9393"
2025-08-09,="5615"
2025-08-08,="8019"
2025-08-07,="8088"
2025-08-06,="1695"
2025-08-05,="1920"
2025-08-04,="4744"
2025-08-03,="1963"
2025-08-02,="2682"
2025-08-01,="7145"
2025-07-31,="0216"
2025-07-30,="8303"
2025-07-29,="5528"
2025-07-28,="9283"
2025-07-27,="2221"
2025-07-26,="2525"
2025-07-25,="0677"
2025-07-24,="0103"
2025-07-23,="0290"
2025-07-22,="8069"
2025-07-21,="1826"
2025-07-20,="4290"
2025-07-19,="9924"
2025-07-18,="6826"
2025-07-17,="1625"
2025-07-16,="3792"
2025-07-15,="7743"
2025-07-14,="8279"
2025-07-13,="4100"
2025-07-12,="0223"
2025-07-11,="2422"
2025-07-10,="0431"
2025-07-09,="0535"
2025-07-08,="0656"
2025-07-07,="8806"
2025-07-06,="1197"
2025-07-05,="6499"
2025-07-04,="2787"
2025-07-03,="3451"
2025-07-02,="6873"
2025-07-01,="0635"
2025-06-30,="5258"
2025-06-29,="2424"
2025-06-28,="4826"
2025-06-27,="3843"
2025-06-26,="5406"
2025-06-25,="8981"
2025-06-24,="8894"
2025-06-23,="9977"
2025-06-22,="6302"
2025-06-21,="0809"
2025-06-20,="0721"
2025-06-19,="2433"
2025-06-18,="6580"
2025-06-17,="5461"
2025-06-16,="7044"
2025-06-15,="3369"
2025-06-14,="2679"
2025-06-13,="2995"
2025-06-12,="3651"
2025-06-11,="1242"
2025-06-10,="3315"
2025-06-09,="2851"
2025-06-08,="2163"
2025-06-07,="7924"
2025-06-06,="5658"
2025-06-05,="0523"
2025-06-04,="9764"
2025-06-03,="3927"
2025-06-02,="2822"
2025-06-01,="6928"
2025-05-31,="2455"
2025-05-30,="0888"
2025-05-29,="3539"
2025-05-28,="7816"
2025-05-27,="1730"
2025-05-26,="3951"
2025-05-25,="1979"
2025-05-24,="3946"
2025-05-23,="3024"
