date,midday
2026-01-01,"=""0469"""
2026-01-02,"=""9771"""
2026-01-03,"=""9965"""
2026-01-04,"=""0991"""
2026-01-05,"=""4831"""
2026-01-06,"=""8379"""
2026-01-07,"=""1379"""
2026-01-08,"=""2595"""
2026-01-09,"=""4127"""
2026-01-10,"=""2508"""
2026-01-11,"=""9836"""
2026-01-12,"=""3617"""
2026-01-13,"=""1485"""
2026-01-14,"=""6222"""
2026-01-15,"=""1641"""
2026-01-16,"=""2946"""
2026-01-17,"=""5586"""
2026-01-18,"=""2730"""
2026-01-19,"=""0400"""
2026-01-20,"=""7716"""
2026-01-21,"=""4190"""
2026-01-22,"=""7081"""
2026-01-23,"=""2007"""
2026-01-24,"=""9612"""
2026-01-25,"=""0192"""
2026-01-26,"=""3375"""
2026-01-27,"=""7631"""
2026-01-28,"=""8268"""
2026-01-29,"=""7484"""
2026-01-30,"=""2088"""
2026-01-31,"=""4780"""
2026-02-01,"=""3705"""
2026-02-02,"=""9945"""
2026-02-03,"=""2040"""
2026-02-04,"=""6020"""
2026-02-05,"=""6550"""
2026-02-06,"=""0439"""
2026-02-07,"=""3105"""
2026-02-08,"=""4917"""
2026-02-09,"=""0618"""
2026-02-10,"=""1240"""
2026-02-11,"=""7555"""
2026-02-12,"=""9494"""
2026-02-13,"=""1436"""
2026-02-14,"=""6941"""
2026-02-15,"=""7360"""
2026-02-16,"=""5999"""
2026-02-17,"=""6430"""
2026-02-18,"=""4919"""
