Year,Month,Day,DayName,midday,evening 
2021,1,1,Friday,6276,4206
2021,1,2,Saturday,8276,3380
2021,1,3,Sunday,1514,9468
2021,1,4,Monday,3421,3045
2021,1,5,Tuesday,2865,4898
2021,1,6,Wednesday,6389,1729
2021,1,7,Thursday,0511,0421
2021,1,8,Friday,2681,3364
2021,1,9,Saturday,7436,3013
2021,1,10,Sunday,6607,2896
2021,1,11,Monday,4320,3413
2021,1,12,Tuesday,1648,6716
2021,1,13,Wednesday,2749,5043
2021,1,14,Thursday,2511,6946
2021,1,15,Friday,5883,4187
2021,1,16,Saturday,2754,9053
2021,1,17,Sunday,2530,1405
2021,1,18,Monday,8924,4289
2021,1,19,Tuesday,5731,5576
2021,1,20,Wednesday,3310,8870
2021,1,21,Thursday,1475,4109
2021,1,22,Friday,7060,8861
2021,1,23,Saturday,7510,5915
2021,1,24,Sunday,1185,8014
2021,1,25,Monday,2493,7943
2021,1,26,Tuesday,3104,7612
2021,1,27,Wednesday,7311,3468
2021,1,28,Thursday,6681,4318
2021,1,29,Friday,7838,5344
2021,1,30,Saturday,2137,1185
2021,1,31,Sunday,0403,1297
2021,2,1,Monday,1011,7330
2021,2,2,Tuesday,6918,6194
2021,2,3,Wednesday,0103,1064
2021,2,4,Thursday,8389,7318
2021,2,5,Friday,6596,0284
2021,2,6,Saturday,5899,7093
2021,2,7,Sunday,9810,9119
2021,2,8,Monday,8304,6403
2021,2,9,Tuesday,6471,7422
2021,2,10,Wednesday,2299,4761
2021,2,11,Thursday,2045,8296
2021,2,12,Friday,9131,6889
2021,2,13,Saturday,6677,9011
2021,2,14,Sunday,2165,8807
2021,2,15,Monday,5634,6455
2021,2,16,Tuesday,9308,6985
2021,2,17,Wednesday,4800,5475
2021,2,18,Thursday,3537,4719
2021,2,19,Friday,0079,1570
2021,2,20,Saturday,6871,3497
2021,2,21,Sunday,9547,6771
2021,2,22,Monday,7250,1659
2021,2,23,Tuesday,1751,0251
2021,2,24,Wednesday,0789,0791
2021,2,25,Thursday,1375,4227
2021,2,26,Friday,1329,9090
2021,2,27,Saturday,4909,0703
2021,2,28,Sunday,7271,8126
2021,3,1,Monday,9708,3168
2021,3,2,Tuesday,9570,9881
2021,3,3,Wednesday,5506,9276
2021,3,4,Thursday,4053,7885
2021,3,5,Friday,7390,7510
2021,3,6,Saturday,2597,6691
2021,3,7,Sunday,9791,2328
2021,3,8,Monday,9450,8439
2021,3,9,Tuesday,8807,1063
2021,3,10,Wednesday,1449,7602
2021,3,11,Thursday,7295,0836
2021,3,12,Friday,2860,8532
2021,3,13,Saturday,3847,1523
2021,3,14,Sunday,1824,1153
2021,3,15,Monday,1262,4340
2021,3,16,Tuesday,6080,2177
2021,3,17,Wednesday,5852,9167
2021,3,18,Thursday,6957,4085
2021,3,19,Friday,1114,2744
2021,3,20,Saturday,8224,2759
2021,3,21,Sunday,4852,2917
2021,3,22,Monday,9656,6356
2021,3,23,Tuesday,4437,0429
2021,3,24,Wednesday,6607,5453
2021,3,25,Thursday,5940,3810
2021,3,26,Friday,9131,9191
2021,3,27,Saturday,8664,1047
2021,3,28,Sunday,0873,1258
2021,3,29,Monday,9813,1060
