date,midday
2020-12-31,="5002"
2020-12-30,="0444"
2020-12-29,="0287"
2020-12-28,="6662"
2020-12-27,="8169"
2020-12-26,="2333"
2020-12-25,="6601"
2020-12-24,="7375"
2020-12-23,="1721"
2020-12-22,="2516"
2020-12-21,="8911"
2020-12-20,="9127"
2020-12-19,="2832"
2020-12-18,="5671"
2020-12-17,="7154"
2020-12-16,="8237"
2020-12-15,="0267"
2020-12-14,="0357"
2020-12-13,="5739"
2020-12-12,="7862"
2020-12-11,="7230"
2020-12-10,="2246"
2020-12-09,="9403"
2020-12-08,="3344"
2020-12-07,="7707"
2020-12-06,="3926"
2020-12-05,="7561"
2020-12-04,="5111"
2020-12-03,="1867"
2020-12-02,="7969"
2020-12-01,="9550"
2020-11-30,="0168"
2020-11-29,="8671"
2020-11-28,="2201"
2020-11-27,="9378"
2020-11-26,="0389"
2020-11-25,="7562"
2020-11-24,="3423"
2020-11-23,="3941"
2020-11-22,="7152"
2020-11-21,="5423"
2020-11-20,="8772"
2020-11-19,="2671"
2020-11-18,="4262"
2020-11-17,="1501"
2020-11-16,="2199"
2020-11-15,="3730"
2020-11-14,="3730"
2020-11-13,="6377"
2020-11-12,="6934"
2020-11-11,="6934"
2020-11-10,="9746"
2020-11-09,="7765"
2020-11-08,="7765"
2020-11-07,="3105"
2020-11-06,="6274"
2020-11-05,="2451"
2020-11-04,="4140"
2020-11-03,="9608"
2020-11-02,="3459"
2020-11-01,="7777"
2020-10-31,="4516"
2020-10-30,="0175"
2020-10-29,="4289"
2020-10-28,="5922"
2020-10-27,="2722"
2020-10-26,="3770"
2020-10-25,="8416"
2020-10-24,="4121"
2020-10-23,="6194"
2020-10-22,="2038"
2020-10-21,="3628"
2020-10-20,="1201"
2020-10-19,="4405"
2020-10-18,="3495"
2020-10-17,="0507"
2020-10-16,="5014"
2020-10-15,="6838"
2020-10-14,="9830"
2020-10-13,="2480"
2020-10-12,="1614"
2020-10-11,="6399"
2020-10-10,="0910"
2020-10-09,="4524"
2020-10-08,="8731"
2020-10-07,="1429"
2020-10-06,="6557"
2020-10-05,="7599"
2020-10-04,="6446"
2020-10-03,="3521"
2020-10-02,="4618"
2020-10-01,="7288"
2020-09-30,="3911"
2020-09-29,="1285"
2020-09-28,="0767"
2020-09-27,="1198"
2020-09-26,="1475"
2020-09-25,="3341"
2020-09-24,="4713"
2020-09-23,="1100"
2020-09-22,="3198"
2020-09-21,="6529"
