date,midday
01-01-2020,0977
02-01-2020,5926
03-01-2020,5614
04-01-2020,3476
05-01-2020,2965
06-01-2020,1461
07-01-2020,0344
08-01-2020,4356
09-01-2020,7754
10-01-2020,7810
11-01-2020,3331
12-01-2020,0559
13-01-2020,9356
14-01-2020,3729
15-01-2020,2977
16-01-2020,5316
17-01-2020,8876
18-01-2020,6388
19-01-2020,1547
20-01-2020,7723
21-01-2020,6730
22-01-2020,5231
23-01-2020,0791
24-01-2020,7474
25-01-2020,4281
26-01-2020,3635
27-01-2020,3337
28-01-2020,5895
29-01-2020,6338
30-01-2020,9123
31-01-2020,1731
01-02-2020,1242
02-02-2020,3305
03-02-2020,7759
04-02-2020,1430
05-02-2020,1007
06-02-2020,2456
07-02-2020,0287
08-02-2020,7095
09-02-2020,8166
10-02-2020,8504
11-02-2020,6678
12-02-2020,6964
13-02-2020,7209
14-02-2020,9177
15-02-2020,7075
16-02-2020,0406
17-02-2020,7776
18-02-2020,8899
19-02-2020,6095
20-02-2020,9152
21-02-2020,9870
22-02-2020,8101
23-02-2020,2615
24-02-2020,0426
25-02-2020,3349
26-02-2020,7189
27-02-2020,0667
28-02-2020,9928
29-02-2020,0672
01-03-2020,6005
02-03-2020,6272
03-03-2020,1750
04-03-2020,6146
05-03-2020,5137
06-03-2020,9610
07-03-2020,9333
08-03-2020,4977
09-03-2020,0036
10-03-2020,1292
11-03-2020,9355
12-03-2020,7464
13-03-2020,5237
14-03-2020,3112
15-03-2020,7432
16-03-2020,4618
17-03-2020,1323
18-03-2020,4323
19-03-2020,0044
20-03-2020,9838
21-03-2020,6640
22-03-2020,0126
23-03-2020,7468
24-03-2020,4367
25-03-2020,0232
26-03-2020,2198
27-03-2020,5124
28-03-2020,6862
29-03-2020,3384
30-03-2020,6448
31-03-2020,0032
01-04-2020,8266
02-04-2020,1481
03-04-2020,2151
04-04-2020,0943
05-04-2020,6366
06-04-2020,6956
07-04-2020,5541
08-04-2020,7698
09-04-2020,8202
10-04-2020,0449
11-04-2020,3921
12-04-2020,6737
13-04-2020,2254
14-04-2020,9898
15-04-2020,4413
16-04-2020,9293
17-04-2020,2294
18-04-2020,0819
19-04-2020,1841
20-04-2020,5981
21-04-2020,9968
22-04-2020,8125
23-04-2020,0434
24-04-2020,4215
25-04-2020,8418
26-04-2020,8809
27-04-2020,7131
28-04-2020,9905
29-04-2020,9590
30-04-2020,5840
01-05-2020,9267
02-05-2020,5686
03-05-2020,3056
04-05-2020,4238
05-05-2020,2925
06-05-2020,3571
07-05-2020,7960
08-05-2020,6659
09-05-2020,2548
10-05-2020,7967
11-05-2020,8841
12-05-2020,1020
13-05-2020,1516
14-05-2020,5157
15-05-2020,4026
16-05-2020,2917
17-05-2020,4014
18-05-2020,3150
19-05-2020,6075
20-05-2020,7079
21-05-2020,3862
22-05-2020,1649
23-05-2020,6238
24-05-2020,3028
25-05-2020,3389
26-05-2020,6910
27-05-2020,1976
28-05-2020,8380
29-05-2020,1295
30-05-2020,2230
31-05-2020,5850
01-06-2020,6068
02-06-2020,1610
03-06-2020,1416
04-06-2020,4743
05-06-2020,1778
06-06-2020,4448
07-06-2020,3019
08-06-2020,8314
09-06-2020,6570
10-06-2020,0848
11-06-2020,8832
12-06-2020,3862
13-06-2020,7635
14-06-2020,2414
15-06-2020,3031
16-06-2020,1035
17-06-2020,3103
18-06-2020,8127
19-06-2020,9132
20-06-2020,2753
21-06-2020,1603
22-06-2020,9427
23-06-2020,1517
24-06-2020,8412
25-06-2020,4398
26-06-2020,6073
27-06-2020,6372
28-06-2020,3715
29-06-2020,2712
30-06-2020,3919
01-07-2020,7546
02-07-2020,5544
03-07-2020,6098
04-07-2020,6306
05-07-2020,3884
06-07-2020,6346
07-07-2020,9194
08-07-2020,2025
09-07-2020,4966
10-07-2020,0167
11-07-2020,3145
12-07-2020,8335
13-07-2020,1394
14-07-2020,7083
15-07-2020,8574
16-07-2020,2515
17-07-2020,7969
18-07-2020,0965
19-07-2020,9874
20-07-2020,6064
21-07-2020,0986
22-07-2020,1030
23-07-2020,0848
24-07-2020,7482
25-07-2020,2716
26-07-2020,9381
27-07-2020,8316
28-07-2020,7322
29-07-2020,8061
30-07-2020,4545
31-07-2020,3872
01-08-2020,4015
02-08-2020,9551
03-08-2020,2093
04-08-2020,4770
05-08-2020,0116
06-08-2020,4128
07-08-2020,2795
08-08-2020,9213
09-08-2020,5507
10-08-2020,5190
11-08-2020,3186
12-08-2020,6166
13-08-2020,7577
14-08-2020,5253
15-08-2020,9213
16-08-2020,1502
17-08-2020,4722
18-08-2020,5039
19-08-2020,5874
20-08-2020,6225
21-08-2020,3828
22-08-2020,4940
23-08-2020,3747
24-08-2020,0401
25-08-2020,1161
26-08-2020,9139
27-08-2020,9341
28-08-2020,2366
29-08-2020,6076
30-08-2020,4420
31-08-2020,3921
01-09-2020,5974
02-09-2020,2550
03-09-2020,6382
04-09-2020,8336
05-09-2020,9642
06-09-2020,8346
07-09-2020,4332
08-09-2020,6945
09-09-2020,7992
10-09-2020,7159
11-09-2020,9833
12-09-2020,2561
13-09-2020,0550
14-09-2020,2253
15-09-2020,3501
16-09-2020,1877
17-09-2020,6420
18-09-2020,4950
19-09-2020,8161
20-09-2020,0565
21-09-2020,6529
22-09-2020,3198
23-09-2020,1100
24-09-2020,4713
25-09-2020,3341
26-09-2020,1475
27-09-2020,1198
28-09-2020,0767
29-09-2020,1285
30-09-2020,3911
01-10-2020,7288
02-10-2020,4618
03-10-2020,3521
04-10-2020,6446
05-10-2020,7599
06-10-2020,6557
07-10-2020,1429
08-10-2020,8731
09-10-2020,4524
10-10-2020,0910
11-10-2020,6399
12-10-2020,1614
13-10-2020,2480
14-10-2020,9830
15-10-2020,6838
16-10-2020,5014
17-10-2020,0507
18-10-2020,3495
19-10-2020,4405
20-10-2020,1201
21-10-2020,3628
22-10-2020,2038
23-10-2020,6194
24-10-2020,4121
25-10-2020,8416
26-10-2020,3770
27-10-2020,2722
28-10-2020,5922
29-10-2020,4289
30-10-2020,0175
31-10-2020,4516
01-11-2020,7777
02-11-2020,3459
03-11-2020,9608
04-11-2020,4140
05-11-2020,2451
06-11-2020,6274
07-11-2020,3105
08-11-2020,7765
09-11-2020,7765
10-11-2020,9746
11-11-2020,6934
12-11-2020,6934
13-11-2020,6377
14-11-2020,3730
15-11-2020,3730
16-11-2020,2199
17-11-2020,1501
18-11-2020,4262
19-11-2020,2671
20-11-2020,8772
21-11-2020,5423
22-11-2020,7152
23-11-2020,3941
24-11-2020,3423
25-11-2020,7562
26-11-2020,0389
27-11-2020,9378
28-11-2020,2201
29-11-2020,8671
30-11-2020,0168
01-12-2020,9550
02-12-2020,7969
03-12-2020,1867
04-12-2020,5111
05-12-2020,7561
06-12-2020,3926
07-12-2020,7707
08-12-2020,3344
09-12-2020,9403
10-12-2020,2246
11-12-2020,7230
12-12-2020,7862
13-12-2020,5739
14-12-2020,0357
15-12-2020,0267
16-12-2020,8237
17-12-2020,7154
18-12-2020,5671
19-12-2020,2832
20-12-2020,9127
21-12-2020,8911
22-12-2020,2516
23-12-2020,1721
24-12-2020,7375
25-12-2020,6601
26-12-2020,2333
27-12-2020,8169
28-12-2020,6662
29-12-2020,0287
30-12-2020,0444
31-12-2020,5002
