date,day,evening
31-12-2020,Thursday,9106
30-12-2020,Wednesday,3487
29-12-2020,Tuesday,0699
28-12-2020,Monday,3468
27-12-2020,Sunday,1492
26-12-2020,Saturday,6558
25-12-2020,Friday,9096
24-12-2020,Thursday,9789
23-12-2020,Wednesday,8987
22-12-2020,Tuesday,3925
21-12-2020,Monday,2988
20-12-2020,Sunday,5253
19-12-2020,Saturday,6354
18-12-2020,Friday,5384
17-12-2020,Thursday,1147
16-12-2020,Wednesday,0338
15-12-2020,Tuesday,1177
14-12-2020,Monday,5494
13-12-2020,Sunday,0012
12-12-2020,Saturday,7797
11-12-2020,Friday,2128
10-12-2020,Thursday,7190
09-12-2020,Wednesday,8061
08-12-2020,Tuesday,6405
07-12-2020,Monday,6234
06-12-2020,Sunday,8624
05-12-2020,Saturday,9762
04-12-2020,Friday,6004
03-12-2020,Thursday,7604
02-12-2020,Wednesday,7689
01-12-2020,Tuesday,7413
30-11-2020,Monday,4253
29-11-2020,Sunday,6982
28-11-2020,Saturday,9945
27-11-2020,Friday,3342
26-11-2020,Thursday,3494
25-11-2020,Wednesday,1939
24-11-2020,Tuesday,1444
23-11-2020,Monday,7727
22-11-2020,Sunday,4371
21-11-2020,Saturday,1364
20-11-2020,Friday,6242
19-11-2020,Thursday,2985
18-11-2020,Wednesday,5640
17-11-2020,Tuesday,6762
16-11-2020,Monday,0322
15-11-2020,Sunday,6222
14-11-2020,Saturday,1086
13-11-2020,Friday,3534
12-11-2020,Thursday,0211
11-11-2020,Wednesday,0635
10-11-2020,Tuesday,5719
09-11-2020,Monday,0028
08-11-2020,Sunday,5431
07-11-2020,Saturday,7529
06-11-2020,Friday,1708
05-11-2020,Thursday,5878
04-11-2020,Wednesday,6054
03-11-2020,Tuesday,5713
02-11-2020,Monday,7044
01-11-2020,Sunday,1712
31-10-2020,Saturday,1773
30-10-2020,Friday,1804
29-10-2020,Thursday,7173
28-10-2020,Wednesday,6935
27-10-2020,Tuesday,6856
26-10-2020,Monday,1427
25-10-2020,Sunday,5706
24-10-2020,Saturday,6214
23-10-2020,Friday,5977
22-10-2020,Thursday,3739
21-10-2020,Wednesday,7852
20-10-2020,Tuesday,3155
19-10-2020,Monday,1557
18-10-2020,Sunday,5922
17-10-2020,Saturday,9343
16-10-2020,Friday,9631
15-10-2020,Thursday,3410
14-10-2020,Wednesday,1785
13-10-2020,Tuesday,9004
12-10-2020,Monday,9479
11-10-2020,Sunday,7552
10-10-2020,Saturday,3182
09-10-2020,Friday,8569
08-10-2020,Thursday,7271
07-10-2020,Wednesday,2600
06-10-2020,Tuesday,8073
05-10-2020,Monday,2245
04-10-2020,Sunday,9715
03-10-2020,Saturday,9006
02-10-2020,Friday,5463
01-10-2020,Thursday,2760
30-09-2020,Wednesday,4819
29-09-2020,Tuesday,7501
28-09-2020,Monday,8246
27-09-2020,Sunday,3644
26-09-2020,Saturday,1795
25-09-2020,Friday,6264
24-09-2020,Thursday,1997
23-09-2020,Wednesday,0891
22-09-2020,Tuesday,4655
21-09-2020,Monday,9074
20-09-2020,Sunday,8245
19-09-2020,Saturday,1963
18-09-2020,Friday,3556
17-09-2020,Thursday,9272
16-09-2020,Wednesday,1032
15-09-2020,Tuesday,4035
14-09-2020,Monday,3665
13-09-2020,Sunday,0069
12-09-2020,Saturday,3883
11-09-2020,Friday,3602
10-09-2020,Thursday,1407
09-09-2020,Wednesday,7262
08-09-2020,Tuesday,6159
07-09-2020,Monday,9361
06-09-2020,Sunday,0358
05-09-2020,Saturday,2079
04-09-2020,Friday,3093
03-09-2020,Thursday,2334
02-09-2020,Wednesday,1176
01-09-2020,Tuesday,3476
31-08-2020,Monday,8968
30-08-2020,Sunday,7628
29-08-2020,Saturday,2516
28-08-2020,Friday,1884
27-08-2020,Thursday,3374
26-08-2020,Wednesday,1559
25-08-2020,Tuesday,5397
24-08-2020,Monday,1102
23-08-2020,Sunday,9945
22-08-2020,Saturday,5547
21-08-2020,Friday,1270
20-08-2020,Thursday,8091
19-08-2020,Wednesday,7186
18-08-2020,Tuesday,7666
17-08-2020,Monday,7989
16-08-2020,Sunday,2956
15-08-2020,Saturday,2490
14-08-2020,Friday,0074
13-08-2020,Thursday,2955
12-08-2020,Wednesday,8529
11-08-2020,Tuesday,0576
10-08-2020,Monday,0501
09-08-2020,Sunday,6901
08-08-2020,Saturday,9550
07-08-2020,Friday,1648
06-08-2020,Thursday,1035
05-08-2020,Wednesday,2316
04-08-2020,Tuesday,6331
03-08-2020,Monday,8843
02-08-2020,Sunday,1854
01-08-2020,Saturday,2199
31-07-2020,Friday,4931
30-07-2020,Thursday,1736
29-07-2020,Wednesday,1930
28-07-2020,Tuesday,6136
27-07-2020,Monday,5105
26-07-2020,Sunday,9295
25-07-2020,Saturday,0300
24-07-2020,Friday,5893
23-07-2020,Thursday,1331
22-07-2020,Wednesday,3319
21-07-2020,Tuesday,7865
20-07-2020,Monday,3825
19-07-2020,Sunday,6760
18-07-2020,Saturday,2725
17-07-2020,Friday,3945
16-07-2020,Thursday,8393
15-07-2020,Wednesday,1653
14-07-2020,Tuesday,8182
13-07-2020,Monday,2875
12-07-2020,Sunday,0421
11-07-2020,Saturday,7778
10-07-2020,Friday,6039
09-07-2020,Thursday,1263
08-07-2020,Wednesday,3119
07-07-2020,Tuesday,2522
06-07-2020,Monday,9070
05-07-2020,Sunday,0457
04-07-2020,Saturday,3471
03-07-2020,Friday,0996
02-07-2020,Thursday,1364
01-07-2020,Wednesday,2813
30-06-2020,Tuesday,3824
29-06-2020,Monday,4690
28-06-2020,Sunday,8092
27-06-2020,Saturday,9334
26-06-2020,Friday,0974
25-06-2020,Thursday,3755
24-06-2020,Wednesday,4335
23-06-2020,Tuesday,3526
22-06-2020,Monday,3755
21-06-2020,Sunday,3173
20-06-2020,Saturday,5588
19-06-2020,Friday,9639
18-06-2020,Thursday,4254
17-06-2020,Wednesday,4087
16-06-2020,Tuesday,4869
15-06-2020,Monday,2955
14-06-2020,Sunday,7684
13-06-2020,Saturday,8196
12-06-2020,Friday,3206
11-06-2020,Thursday,4045
10-06-2020,Wednesday,4412
09-06-2020,Tuesday,8344
08-06-2020,Monday,6055
07-06-2020,Sunday,6748
06-06-2020,Saturday,0479
05-06-2020,Friday,5229
04-06-2020,Thursday,6930
03-06-2020,Wednesday,1487
02-06-2020,Tuesday,6338
01-06-2020,Monday,2551
31-05-2020,Sunday,8886
30-05-2020,Saturday,9702
29-05-2020,Friday,3292
28-05-2020,Thursday,6504
27-05-2020,Wednesday,6599
26-05-2020,Tuesday,3110
25-05-2020,Monday,8776
24-05-2020,Sunday,7642
23-05-2020,Saturday,5339
22-05-2020,Friday,3816
21-05-2020,Thursday,7503
20-05-2020,Wednesday,2262
19-05-2020,Tuesday,5337
18-05-2020,Monday,1721
17-05-2020,Sunday,7266
16-05-2020,Saturday,3060
15-05-2020,Friday,8661
14-05-2020,Thursday,9637
13-05-2020,Wednesday,2321
12-05-2020,Tuesday,3454
11-05-2020,Monday,6868
10-05-2020,Sunday,2524
09-05-2020,Saturday,5220
08-05-2020,Friday,9468
07-05-2020,Thursday,5839
06-05-2020,Wednesday,7206
05-05-2020,Tuesday,1552
04-05-2020,Monday,4201
03-05-2020,Sunday,4317
02-05-2020,Saturday,2995
01-05-2020,Friday,2943
30-04-2020,Thursday,3140
29-04-2020,Wednesday,1700
28-04-2020,Tuesday,7338
27-04-2020,Monday,6835
26-04-2020,Sunday,0444
25-04-2020,Saturday,3740
24-04-2020,Friday,4773
23-04-2020,Thursday,7941
22-04-2020,Wednesday,0678
21-04-2020,Tuesday,7951
20-04-2020,Monday,6012
19-04-2020,Sunday,2983
18-04-2020,Saturday,7610
17-04-2020,Friday,0910
16-04-2020,Thursday,6617
15-04-2020,Wednesday,2205
14-04-2020,Tuesday,4398
13-04-2020,Monday,0280
12-04-2020,Sunday,3719
11-04-2020,Saturday,0107
10-04-2020,Friday,2757
09-04-2020,Thursday,2073
08-04-2020,Wednesday,5449
